,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
22,CompareToBuilder,org.apache.commons.lang3.builder,202,0,20,9,0,231,87.44588744588745,55,947,30,190,21,239,32,109,2,29,91.92307692307692,86.36363636363636,141
23,CompositeFormat,org.apache.commons.lang3.text,5,0,0,0,0,5,100.0,0,34,0,0,0,9,0,6,0,6,100.0,,6
24,ConcurrentUtils,org.apache.commons.lang3.concurrent,39,0,0,0,0,39,100.0,3,177,0,34,2,50,1,35,1,18,96.15384615384616,100.0,36
25,ConstantInitializer,org.apache.commons.lang3.concurrent,9,0,0,1,0,10,90.0,0,57,0,6,0,14,0,9,0,6,100.0,100.0,9
26,ConstructorUtils,org.apache.commons.lang3.reflect,22,0,0,1,0,23,95.65217391304348,15,185,3,21,4,50,4,17,1,8,92.5925925925926,87.5,21
27,ContextedException,org.apache.commons.lang3.exception,9,0,0,1,0,10,90.0,0,97,0,2,0,28,0,15,0,14,100.0,100.0,15
28,ContextedRuntimeException,org.apache.commons.lang3.exception,9,0,0,1,0,10,90.0,0,97,0,2,0,28,0,15,0,14,100.0,100.0,15
29,Conversion,org.apache.commons.lang3,658,0,1,131,0,790,83.29113924050633,193,2486,84,376,32,433,75,229,1,43,93.11827956989247,81.73913043478261,304
30,DateFormatUtils,org.apache.commons.lang3.time,15,0,1,0,0,16,93.75,9,155,0,0,1,43,1,17,1,17,97.72727272727273,,18
31,DateUtils,org.apache.commons.lang3.time,212,0,7,8,11,238,93.69747899159664,65,1422,14,186,11,314,18,156,6,63,96.61538461538461,93.0,174
32,DefaultExceptionContext,org.apache.commons.lang3.exception,15,0,0,4,0,19,78.94736842105263,0,227,0,24,0,49,0,20,0,8,100.0,100.0,20
33,Diff,org.apache.commons.lang3.builder,3,0,0,0,0,3,100.0,0,52,0,0,0,10,0,5,0,5,100.0,,5
34,DiffBuilder,org.apache.commons.lang3.builder,133,0,1,31,0,165,80.60606060606061,4,1061,3,111,1,208,3,131,0,77,99.52153110047847,97.36842105263158,134
35,DiffResult,org.apache.commons.lang3.builder,15,0,0,0,0,15,100.0,0,133,0,12,0,26,0,13,0,7,100.0,100.0,13
36,DurationFormatUtils,org.apache.commons.lang3.time,134,0,11,6,5,156,89.10256410256409,35,962,11,128,12,239,13,82,2,20,95.2191235059761,92.08633093525181,95
37,EntityArrays,org.apache.commons.lang3.text.translate,2,0,0,11,0,13,15.384615384615385,0,3463,0,2,0,284,0,14,0,13,100.0,100.0,14
38,EnumUtils,org.apache.commons.lang3,57,0,0,1,0,58,98.27586206896551,0,399,1,35,0,66,1,32,0,15,100.0,97.22222222222221,33
39,EqualsBuilder,org.apache.commons.lang3.builder,233,0,21,10,0,264,88.25757575757574,56,1091,40,212,23,283,42,127,2,41,92.48366013071896,84.12698412698413,169
40,EventCountCircuitBreaker,org.apache.commons.lang3.concurrent,35,0,0,5,3,43,88.3720930232558,2,300,2,20,0,69,2,41,0,32,100.0,90.9090909090909,43
41,EventListenerSupport,org.apache.commons.lang3.event,14,0,0,1,0,15,93.33333333333331,5,224,1,7,1,52,1,20,0,17,98.11320754716981,87.5,21
42,EventUtils,org.apache.commons.lang3.event,9,0,0,0,0,9,100.0,26,138,0,8,4,24,0,10,0,6,85.71428571428571,100.0,10
43,ExceptionUtils,org.apache.commons.lang3.exception,79,0,6,16,0,101,78.21782178217822,44,593,6,86,12,148,8,68,4,26,92.5,93.47826086956522,76
44,ExtendedMessageFormat,org.apache.commons.lang3.text,70,0,8,23,2,103,69.90291262135922,137,621,31,78,31,156,32,47,5,17,83.42245989304813,71.55963302752293,79
