,CLASS,PACKAGE,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
60,DefaultConfigurationKey,org.apache.commons.configuration2.tree,131,4,17,8,160,86.875,25,869,8,136,6,201,8,113,0,49,97.10144927536231,94.44444444444444,121
61,DefaultConversionHandler,org.apache.commons.configuration2.convert,47,0,0,0,47,100.0,0,309,0,46,0,69,0,43,0,20,100.0,100.0,43
62,DefaultEntityResolver,org.apache.commons.configuration2.resolver,3,4,1,0,8,37.5,40,25,3,3,12,8,3,4,1,3,40.0,50.0,7
63,DefaultExpressionEngine,org.apache.commons.configuration2.tree,41,0,1,0,42,97.61904761904762,0,342,1,43,0,73,1,35,0,14,100.0,97.72727272727273,36
64,DefaultExpressionEngineSymbols,org.apache.commons.configuration2.tree,19,0,1,0,20,95.0,0,232,0,4,0,68,0,23,0,21,100.0,100.0,23
65,DefaultFileSystem,org.apache.commons.configuration2.io,30,11,8,0,49,61.224489795918366,136,234,10,32,25,69,14,25,5,13,73.40425531914893,76.19047619047619,39
66,DefaultListDelimiterHandler,org.apache.commons.configuration2.convert,22,0,0,0,22,100.0,0,169,0,26,0,44,0,18,0,5,100.0,100.0,18
67,DefaultLookups,org.apache.commons.configuration2.interpol,2,0,0,0,2,100.0,5,281,0,0,0,33,1,5,1,5,100.0,,6
68,DefaultParametersManager,org.apache.commons.configuration2.builder,15,0,0,0,15,100.0,0,140,1,23,0,37,1,20,0,9,100.0,95.83333333333334,21
69,DefaultReloadingDetectorFactory,org.apache.commons.configuration2.builder,2,0,1,0,3,66.66666666666666,0,24,0,2,0,6,0,3,0,2,100.0,100.0,3
70,DisabledListDelimiterHandler,org.apache.commons.configuration2.convert,2,0,0,0,2,100.0,0,26,0,0,0,7,0,5,0,5,100.0,,5
71,DummyLookup,org.apache.commons.configuration2.interpol,1,0,0,0,1,100.0,9,21,0,0,0,3,2,3,2,3,100.0,,5
72,DynamicCombinedConfiguration,org.apache.commons.configuration2,68,60,19,3,150,47.33333333333334,434,538,25,29,89,147,68,56,50,47,62.28813559322034,53.70370370370371,124
73,EnvironmentLookup,org.apache.commons.configuration2.interpol,0,1,0,0,1,0.0,6,0,0,0,2,0,2,0,2,0,0.0,,2
74,Event,org.apache.commons.configuration2.event,5,0,0,0,5,100.0,0,75,0,2,0,16,0,6,0,5,100.0,100.0,6
75,EventListenerList,org.apache.commons.configuration2.event,32,0,0,3,35,100.0,0,300,1,35,0,80,1,41,0,24,100.0,97.22222222222221,42
76,EventListenerParameters,org.apache.commons.configuration2.builder,6,0,0,0,6,100.0,0,26,0,0,0,9,0,5,0,5,100.0,,5
77,EventListenerRegistrationData,org.apache.commons.configuration2.event,10,4,0,0,14,71.42857142857143,16,55,1,11,4,16,2,9,1,4,80.0,91.66666666666666,11
78,EventType,org.apache.commons.configuration2.event,9,0,0,0,9,100.0,0,64,0,6,0,20,0,9,0,6,100.0,100.0,9
79,ExprLookup,org.apache.commons.configuration2.interpol,19,10,0,0,29,65.51724137931035,98,192,7,11,23,58,13,22,8,18,71.60493827160494,61.111111111111114,35
80,FileBasedBuilderParametersImpl,org.apache.commons.configuration2.builder,36,0,0,0,36,100.0,0,206,0,18,0,65,0,30,0,21,100.0,100.0,30
81,FileBasedConfigurationBuilder,org.apache.commons.configuration2.builder,36,0,3,0,39,92.30769230769229,0,276,1,39,0,84,1,38,0,19,100.0,97.5,39
82,FileExtensionConfigurationBuilderProvider,org.apache.commons.configuration2.builder.combined,14,0,1,0,15,93.33333333333331,1,88,1,13,1,22,1,12,0,6,95.65217391304348,92.85714285714286,13
83,FileHandler,org.apache.commons.configuration2.io,127,2,8,2,139,92.80575539568345,68,1114,5,75,15,331,7,133,2,98,95.66473988439307,93.75,140
84,FileHandlerReloadingDetector,org.apache.commons.configuration2.reloading,22,1,2,1,26,88.46153846153845,3,139,0,20,2,39,0,23,0,13,95.1219512195122,100.0,23
85,FileLocator,org.apache.commons.configuration2.io,23,0,1,0,24,95.83333333333334,0,223,0,8,0,61,0,24,0,20,100.0,100.0,24
