,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
163,NullIsFalsePredicate,org.apache.commons.collections4.functors,5,0,1,0,0,6,83.33333333333334,8,27,0,4,1,9,1,5,1,3,90.0,100.0,6
164,NullIsTruePredicate,org.apache.commons.collections4.functors,5,0,1,0,0,6,83.33333333333334,8,27,0,4,1,9,1,5,1,3,90.0,100.0,6
165,NullPredicate,org.apache.commons.collections4.functors,4,0,0,0,0,4,100.0,0,15,0,2,0,4,0,5,0,4,100.0,100.0,5
166,ObjectArrayIterator,org.apache.commons.collections4.iterators,15,0,2,0,0,17,88.23529411764706,6,105,0,12,2,27,2,14,2,8,93.10344827586206,100.0,16
167,ObjectArrayListIterator,org.apache.commons.collections4.iterators,15,0,1,0,0,16,93.75,6,112,0,8,3,23,1,14,1,10,88.46153846153845,100.0,15
168,ObjectGraphIterator,org.apache.commons.collections4.iterators,27,0,0,0,0,27,100.0,0,195,0,30,0,56,0,23,0,8,100.0,100.0,23
169,OnePredicate,org.apache.commons.collections4.functors,10,0,1,0,0,11,90.9090909090909,4,60,1,9,1,16,1,8,0,4,94.11764705882352,90.0,9
170,OrPredicate,org.apache.commons.collections4.functors,6,0,1,0,0,7,85.71428571428571,13,38,1,7,1,8,2,6,1,3,88.88888888888889,87.5,8
171,PassiveExpiringMap,org.apache.commons.collections4.map,0,0,48,0,0,48,0.0,32,284,1,21,11,77,6,36,5,26,87.5,95.45454545454545,42
172,PeekingIterator,org.apache.commons.collections4.iterators,18,0,2,1,1,22,86.36363636363636,12,123,3,21,4,35,3,17,0,8,89.74358974358975,87.5,20
173,PermutationIterator,org.apache.commons.collections4.iterators,34,0,0,4,0,38,89.47368421052632,0,262,0,34,0,45,0,21,0,4,100.0,100.0,21
174,PredicateTransformer,org.apache.commons.collections4.functors,3,0,1,0,0,4,75.0,3,24,0,2,1,7,1,4,1,3,87.5,100.0,5
175,PredicateUtils,org.apache.commons.collections4,24,0,5,0,0,29,82.75862068965517,12,98,0,0,5,26,5,24,5,24,83.87096774193549,,29
176,PredicatedBag,org.apache.commons.collections4.bag,2,0,9,0,0,11,18.181818181818183,0,55,0,4,0,11,0,11,0,9,100.0,100.0,11
177,PredicatedCollection,org.apache.commons.collections4.collection,26,0,3,2,0,31,83.87096774193549,50,232,8,18,12,56,9,25,2,19,82.35294117647058,69.23076923076923,34
178,PredicatedList,org.apache.commons.collections4.list,17,0,1,5,0,23,73.91304347826086,13,126,0,6,2,30,1,20,1,17,93.75,100.0,21
179,PredicatedMap,org.apache.commons.collections4.map,16,0,0,2,0,18,88.8888888888889,0,128,0,16,0,32,0,17,0,9,100.0,100.0,17
180,PredicatedMultiSet,org.apache.commons.collections4.multiset,3,0,11,0,0,14,21.428571428571427,13,55,0,4,3,11,2,11,2,9,78.57142857142857,100.0,13
181,PredicatedNavigableSet,org.apache.commons.collections4.set,0,0,13,0,0,13,0.0,15,74,0,0,3,15,3,11,3,11,83.33333333333334,,14
182,PredicatedQueue,org.apache.commons.collections4.queue,7,0,0,1,0,8,87.5,0,39,0,0,0,10,0,8,0,8,100.0,,8
183,PredicatedSet,org.apache.commons.collections4.set,6,0,0,0,0,6,100.0,0,31,0,4,0,6,0,7,0,5,100.0,100.0,7
184,PredicatedSortedBag,org.apache.commons.collections4.bag,1,0,4,0,0,5,20.0,0,27,0,0,0,7,0,6,0,6,100.0,,6
185,PredicatedSortedMap,org.apache.commons.collections4.map,8,0,0,0,0,8,100.0,0,72,0,0,0,13,0,9,0,9,100.0,,9
186,PredicatedSortedSet,org.apache.commons.collections4.set,0,0,8,0,0,8,0.0,0,64,0,0,0,13,0,9,0,9,100.0,,9
187,PrototypeFactory,org.apache.commons.collections4.functors,10,0,1,3,0,14,71.42857142857143,41,139,1,7,14,36,2,8,1,5,72.0,87.5,10
188,PushbackIterator,org.apache.commons.collections4.iterators,8,0,1,0,0,9,88.8888888888889,12,50,3,5,3,12,3,7,0,6,80.0,62.5,10
189,QueueUtils,org.apache.commons.collections4,5,0,0,0,0,5,100.0,0,22,0,0,0,6,0,6,0,6,100.0,,6
190,ReferenceIdentityMap,org.apache.commons.collections4.map,0,0,12,0,0,12,0.0,24,61,0,6,6,16,3,11,3,8,72.72727272727273,100.0,14
